#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
  15200      1.33e+00    1.30e+00      4.96e-03    5.74e-03      6.47e-02    6.33e-02    4.2e-04
  15300      1.41e+00    1.60e+00      3.56e-03    3.19e-03      6.84e-02    7.77e-02    4.2e-04
  15400      1.33e+00    1.25e+00      1.02e-03    7.32e-04      6.46e-02    6.08e-02    4.2e-04
  15500      1.38e+00    1.05e+00      1.16e-03    5.38e-03      6.69e-02    5.12e-02    4.2e-04
  15600      1.45e+00    1.30e+00      1.87e-03    6.24e-04      7.06e-02    6.34e-02    4.2e-04
  15700      1.34e+00    1.29e+00      5.53e-03    3.25e-03      6.51e-02    6.29e-02    4.2e-04
  15800      1.25e+00    1.33e+00      1.50e-02    1.17e-02      6.00e-02    6.39e-02    4.2e-04
  15900      1.23e+00    1.20e+00      6.99e-03    8.77e-03      5.98e-02    5.78e-02    4.2e-04
  16000      1.30e+00    1.19e+00      1.75e-02    1.74e-02      6.20e-02    5.67e-02    4.2e-04
  16100      1.40e+00    1.32e+00      1.26e-02    9.74e-03      6.74e-02    6.37e-02    4.2e-04
  16200      1.19e+00    1.15e+00      2.91e-02    2.97e-02      5.36e-02    5.16e-02    4.2e-04
  16300      1.51e+00    1.34e+00      1.38e-02    1.36e-02      7.27e-02    6.43e-02    4.2e-04
  16400      1.31e+00    1.33e+00      1.06e-02    6.87e-03      6.31e-02    6.45e-02    4.2e-04
  16500      1.25e+00    1.38e+00      1.40e-02    1.51e-02      5.98e-02    6.63e-02    4.2e-04
  16600      1.21e+00    1.26e+00      2.11e-02    2.14e-02      5.67e-02    5.92e-02    4.2e-04
  16700      1.28e+00    1.46e+00      1.86e-02    1.95e-02      6.07e-02    6.98e-02    4.2e-04
  16800      1.05e+00    1.34e+00      1.80e-02    1.61e-02      4.93e-02    6.39e-02    4.2e-04
  16900      1.12e+00    1.28e+00      8.05e-04    2.38e-03      5.47e-02    6.24e-02    4.2e-04
  17000      1.27e+00    1.23e+00      1.23e-02    1.19e-02      6.11e-02    5.90e-02    4.2e-04
  17100      1.34e+00    1.23e+00      9.24e-03    1.05e-02      6.50e-02    5.96e-02    4.2e-04
  17200      1.29e+00    1.36e+00      2.25e-02    2.23e-02      6.04e-02    6.43e-02    4.2e-04
  17300      1.32e+00    1.03e+00      1.99e-02    1.92e-02      6.26e-02    4.83e-02    4.2e-04
  17400      1.35e+00    1.39e+00      7.37e-03    5.00e-03      6.54e-02    6.75e-02    4.2e-04
  17500      1.30e+00    1.29e+00      5.62e-03    6.29e-03      6.32e-02    6.28e-02    4.2e-04
  17600      1.22e+00    1.06e+00      3.40e-03    2.33e-03      5.93e-02    5.15e-02    4.2e-04
  17700      1.21e+00    1.16e+00      5.40e-03    7.60e-03      5.87e-02    5.59e-02    4.2e-04
  17800      1.45e+00    1.39e+00      1.97e-02    1.65e-02      6.90e-02    6.66e-02    4.2e-04
  17900      1.07e+00    1.18e+00      2.32e-03    3.46e-03      5.20e-02    5.75e-02    4.2e-04
  18000      1.31e+00    1.38e+00      7.88e-03    9.59e-03      6.34e-02    6.69e-02    4.2e-04
  18100      1.21e+00    1.35e+00      1.32e-02    1.31e-02      5.79e-02    6.52e-02    4.2e-04
  18200      1.19e+00    1.29e+00      1.64e-02    1.56e-02      5.65e-02    6.19e-02    4.2e-04
  18300      1.33e+00    1.32e+00      1.94e-03    3.23e-03      6.46e-02    6.41e-02    4.2e-04
  18400      1.50e+00    1.50e+00      9.55e-04    2.28e-03      7.28e-02    7.32e-02    4.2e-04
  18500      1.44e+00    1.20e+00      9.87e-03    6.90e-03      6.96e-02    5.82e-02    4.2e-04
  18600      1.47e+00    1.21e+00      1.03e-02    9.54e-03      7.09e-02    5.82e-02    4.2e-04
  18700      1.39e+00    1.26e+00      8.76e-03    1.06e-02      6.71e-02    6.10e-02    4.2e-04
  18800      1.35e+00    1.36e+00      1.25e-03    1.91e-03      6.58e-02    6.61e-02    4.2e-04
  18900      1.14e+00    1.28e+00      1.90e-04    1.68e-03      5.56e-02    6.23e-02    4.2e-04
  19000      1.31e+00    1.21e+00      1.89e-02    1.59e-02      6.20e-02    5.77e-02    4.2e-04
  19100      1.50e+00    1.26e+00      7.40e-03    2.28e-03      7.26e-02    6.13e-02    4.2e-04
  19200      1.28e+00    1.42e+00      1.03e-02    1.06e-02      6.16e-02    6.84e-02    4.2e-04
  19300      1.36e+00    1.44e+00      4.88e-03    4.66e-03      6.60e-02    7.00e-02    4.2e-04
  19400      1.35e+00    1.17e+00      9.62e-03    6.54e-03      6.51e-02    5.67e-02    4.2e-04
  19500      1.48e+00    1.13e+00      5.59e-03    6.27e-05      7.19e-02    5.49e-02    4.2e-04
  19600      1.15e+00    1.22e+00      6.62e-04    2.87e-03      5.58e-02    5.93e-02    4.2e-04
  19700      1.64e+00    1.42e+00      1.08e-02    1.27e-02      7.96e-02    6.83e-02    4.2e-04
  19800      1.31e+00    1.05e+00      3.80e-03    2.93e-04      6.35e-02    5.12e-02    4.2e-04
  19900      1.21e+00    1.21e+00      3.19e-03    4.47e-03      5.87e-02    5.87e-02    4.2e-04
  20000      1.26e+00    1.21e+00      1.42e-02    1.43e-02      6.98e-02    6.64e-02    3.2e-04
  20100      8.70e-01    8.63e-01      3.21e-03    2.11e-03      4.88e-02    4.84e-02    3.2e-04
  20200      9.86e-01    9.64e-01      4.12e-03    4.81e-03      5.53e-02    5.40e-02    3.2e-04
  20300      1.06e+00    1.19e+00      9.42e-04    1.55e-03      5.96e-02    6.71e-02    3.2e-04
  20400      1.05e+00    9.79e-01      1.84e-03    7.60e-04      5.90e-02    5.50e-02    3.2e-04
  20500      9.96e-01    1.04e+00      4.46e-05    1.54e-04      5.60e-02    5.84e-02    3.2e-04
  20600      1.00e+00    1.01e+00      1.68e-03    1.87e-04      5.64e-02    5.65e-02    3.2e-04
  20700      1.07e+00    1.08e+00      1.01e-02    8.89e-03      5.96e-02    6.02e-02    3.2e-04
  20800      9.69e-01    1.17e+00      9.74e-03    7.58e-03      5.37e-02    6.51e-02    3.2e-04
  20900      1.06e+00    8.32e-01      7.06e-03    6.72e-03      5.90e-02    4.63e-02    3.2e-04
  21000      9.92e-01    1.18e+00      1.22e-03    2.74e-03      5.57e-02    6.61e-02    3.2e-04
  21100      8.63e-01    9.22e-01      5.19e-04    1.01e-03      4.85e-02    5.18e-02    3.2e-04
  21200      1.01e+00    1.09e+00      5.80e-03    5.94e-03      5.64e-02    6.12e-02    3.2e-04
  21300      1.17e+00    1.01e+00      2.07e-02    1.94e-02      6.27e-02    5.41e-02    3.2e-04
  21400      1.18e+00    1.06e+00      2.27e-02    2.24e-02      6.28e-02    5.58e-02    3.2e-04
  21500      1.22e+00    9.70e-01      1.21e-02    8.94e-03      6.74e-02    5.39e-02    3.2e-04
